;x;y;coin;label
0;-1.7806088;4.245769999999999;27972;3
1;-0.25253314;1.1455853999999999;377;2
2;-0.27816862;4.4449434000000005;35934;3
3;15.748947;7.9630423;679;1
4;15.90417;8.195506;727;1
5;-2.099592;5.002744;21719;3
6;1.2972246;4.4131765;31162;0
7;-1.3531818000000002;1.8292644;34572;2
8;2.274078;4.0431614;17648;0
9;1.4005998;5.792055;37736;0
10;-1.2726728999999999;2.6247482000000004;8420;3
11;-0.8613415999999999;6.434789;24856;3
12;2.611527;5.9550004;9783;0
13;1.9076836;4.7427660000000005;29259;0
14;2.7810345;3.651593;34813;0
15;1.6621598999999998;3.5984032;6350;0
16;-0.87793076;1.6543525000000001;17535;2
17;-2.5031037;4.092955600000001;5207;3
18;-0.20412174;4.052164;17918;3
19;-3.759584;6.451501;34300;3
20;0.50865114;5.148635400000001;36553;3
21;0.22769332;3.1383278;37944;3
22;-3.2259243;3.9002239999999997;7721;3
23;0.17968364;4.86227;32771;3
24;-0.2998522;2.5097947;33390;2
25;1.7207310000000002;4.291383000000001;8060;0
26;0.8106719;2.576494;13158;2
27;2.1478431000000002;4.807263400000001;34882;0
28;0.7764729;3.4114406;17698;3
29;0.78467834;3.4165459000000005;17688;3
30;1.9329319;4.51144;3771;0
31;2.0921016;4.782091;41612;0
32;-0.015166128000000001;4.172429;2921;3
33;-1.3251986999999998;3.0151124;33064;3
34;17.950813;8.708132;15973;1
35;2.5990772;4.435312000000001;14514;0
36;3.9585220000000003;8.854725;9745;0
37;-2.1572709999999997;2.0331535;1120;2
38;3.3302398;6.244571700000001;7086;0
39;1.8279682000000002;7.393071000000001;8466;0
40;-0.07716944;2.6203402999999996;38638;2
41;4.0755076;5.855921700000001;3775;0
42;2.5446525;3.4302742;5499;0
43;-1.0564296999999998;4.7922654;5512;3
44;0.01976509;4.1703978;33402;3
45;-0.31402245;4.73862;4929;3
46;0.6169647;4.7095394;32977;3
47;2.4720616;3.3084273;7682;0
48;0.0016690254000000001;9.175508500000001;36526;0
49;1.8910002000000001;3.4056363;1066;0
50;4.016902399999999;4.288328599999999;17822;0
51;0.28830236;3.5774178999999995;15586;3
52;2.5226642999999997;3.6039410000000003;774;0
53;2.5704477000000003;6.745984;34306;0
54;1.7396233;7.721242;33726;0
55;2.3098349999999996;3.9960716;17661;0
56;1.9110171000000002;3.8067879999999996;419;0
57;0.29079956;3.7100042999999996;15589;3
58;-2.1285557999999996;0.30401817;33866;2
59;2.779863;3.6480013999999996;9562;0
60;2.0674023999999998;3.8845336;6257;0
61;-0.6881010999999999;4.775136;6764;3
62;0.8448181;3.2944477;18536;3
63;1.9244592;2.7191591;32630;2
64;3.6095817;4.7907553;15756;0
65;2.0677803;4.7189727;11378;0
66;2.106144;4.051411;7879;0
67;2.3888834;5.1333222;11959;0
68;0.19290844;3.2057113999999998;1070;3
69;3.8117992999999997;6.275403;37587;0
70;-1.0386794;0.14266892;32961;2
71;2.1851501;5.615697;1086;0
72;2.4718842999999997;3.3413396;4904;0
73;1.071996;4.0883403;41265;3
74;1.8734970000000002;1.2344903;36762;2
75;1.2926507999999999;5.380193;5881;0
76;2.8418807999999998;5.326018299999999;8922;0
77;-1.0612053;4.7946043;4152;3
78;4.248036;6.7885537;32600;0
79;0.7654746;4.256042;33862;3
80;-0.09275091;4.5844526;29480;3
81;2.2003984;6.8111444;9752;0
82;-0.036502323999999996;5.159555;4004;3
83;-2.7772259999999998;3.5312525999999997;15477;3
84;1.7772973;4.9421735;29466;0
85;1.7732130000000002;4.982732;17417;0
86;0.5052838;3.3068527999999997;6695;3
87;2.0281959;3.1321925999999998;7132;0
88;-1.1610367;1.2603996000000002;17158;2
89;2.30108;6.649822;30390;0
90;2.5708206000000002;6.7427660000000005;8827;0
91;-0.081805274;3.6792050000000005;17888;3
92;-2.0268874;2.521559;28488;3
93;2.411995;3.5883076000000003;17452;0
94;2.009256;3.90245;17952;0
95;1.0259850000000001;6.745527;26839;0
96;3.304381;5.047523;9732;0
97;2.4751115;3.3800266000000003;3325;0
98;0.7861654;5.442890599999999;16219;3
99;-0.27395374;3.1248392999999997;3496;3
100;1.8814837;3.2598738999999997;17840;0
101;1.8747784;3.245058;14811;0
102;0.8264372;2.5747156;33713;2
103;-1.3947947;0.19546147;32827;2
104;0.024318159;4.804568;6117;3
105;-0.6179805;4.99852;36593;3
106;1.2915552;3.1112482999999997;6025;2
107;2.2861119999999997;4.0230502999999995;17826;0
108;0.36654407;3.6288009;10606;3
109;-2.1563562999999997;2.0341077000000003;3596;2
110;-0.48692188;2.0582197;34225;2
111;0.99151725;5.6983995;11354;0
112;-0.91400063;0.07332425;34066;2
113;3.4680176;4.2501764;11381;0
114;5.8852997;2.9252257;10545;0
115;0.37259758;4.1120014;4550;3
116;-1.2754635;5.4720244000000005;41526;3
117;0.79617864;5.4473042000000005;4931;3
118;-0.6129935999999999;-3.4528584;18520;2
119;-0.09510060000000001;3.9929059999999996;15442;3
120;1.5629367;3.9634062999999995;872;0
121;2.3052917;4.5157169999999995;35044;0
122;2.361796;6.240812;34645;0
123;3.5956867;4.6808586;33590;0
124;1.8178488000000002;-0.18205427;35910;2
125;-2.4626607999999997;3.6690507000000006;35381;3
126;4.236306;4.790147;34549;0
127;0.7183906;3.3007476000000002;17722;3
128;-1.8623307;2.5743384;8841;3
129;1.1435511;4.376162;8886;3
130;1.4033669;0.69981676;16319;2
131;0.97069883;1.5792547;1039;2
132;1.7310746;4.7961407;34793;0
133;0.58101517;5.244816999999999;4818;3
134;0.34535614;2.207659;5876;2
135;4.0207809999999995;5.891503299999999;34921;0
136;3.7624784;2.494818;35835;0
137;1.1843754;4.341989;36585;0
138;2.9742546;4.725747;7154;0
139;2.1342957;1.3592563999999998;8972;2
140;3.9583793;8.855455000000001;37989;0
141;1.0814754999999998;3.6135945;17894;3
142;1.1315155000000001;2.1217237;5494;2
143;-0.30070713;2.6263883;2913;2
144;-0.10341992;1.8946804;7334;2
145;3.3392513;6.243871700000001;7123;0
146;1.2845597;4.195608999999999;9624;0
147;-0.24744992;3.0763617;38285;3
148;2.2549512000000003;2.459645;921;2
149;3.4727062999999996;4.2478739999999995;10850;0
150;0.42557860000000003;4.0336175;24871;3
151;1.6449468;3.6159635000000003;24876;0
152;1.7335199000000001;7.7198095;33727;0
153;0.38907313;4.080614;35879;3
154;4.297652200000001;6.7687364;32501;0
155;-2.464603;3.6769154000000004;34679;3
156;0.9774105;-3.7839312999999994;15557;2
157;-0.63789;4.394426999999999;3031;3
158;-0.07646563;5.3213935;5155;3
159;0.41501322;4.973447;28332;3
160;-1.4098419;0.18984473;32839;2
161;0.30487475;3.527279;22454;3
162;-1.3786885;0.1975781;8915;2
163;0.79473686;3.4260132000000003;17714;3
164;-1.244486;4.2368717;5557;3
165;1.2631588;1.2420597;9957;2
166;17.884106;8.672102;25533;1
167;1.6317456;3.6232135000000003;24882;0
168;-0.87449056;5.2514753;24903;3
169;-0.26731414;3.1511014;813;3
170;-0.30170178;2.5237908;27374;2
171;3.7110233;2.5095422000000003;3694;0
172;-1.0030563;7.035121000000001;34221;3
173;1.9555407;3.9992542;35792;0
174;-0.23909113;1.1474855;3490;2
175;-2.791824;-2.6199336;30361;2
176;1.074785;5.123201;9579;0
177;0.7000096;2.8679897999999997;15438;2
178;-0.38874048;5.057818;7034;3
179;-0.15795939;1.5043236;5820;2
180;-0.16315491;4.9096603;10602;3
181;2.3061137;4.0061293;40156;0
182;-1.7828321;4.2604833;17926;3
183;0.6725215999999999;5.226736;6911;3
184;1.4276612;5.719557;33235;0
185;2.985014;3.7762214999999997;11926;0
186;-1.1329328;4.652188;4031;3
187;1.7342453000000002;7.6920304;29237;0
188;4.062631;-0.31901464;8631;2
189;3.6030364;4.8041625;11970;0
190;-1.0157806999999999;0.15752526;32835;2
191;-0.04429266;4.8156824;12684;3
