;x;y;coin;label
0;9.329284;1.6334416;37235;0
1;17.197727;0.25731367;39764;0
2;11.025928;3.7989203999999996;30084;0
3;11.485792;3.4138763;8211;0
4;-9.600242999999999;1.9476674999999999;21866;1
5;-5.747387000000001;8.962489999999999;38719;1
6;13.461197;1.4066969999999999;13624;0
7;11.621832000000001;0.6216524999999999;26739;0
8;10.889406;18.431568;41679;0
9;-5.7521830000000005;8.963565;21852;1
10;10.435764;0.30765837;8700;0
11;10.4779;-0.25538453;4608;0
12;-10.542100999999999;2.9335525000000002;21902;1
13;-10.647542;2.9551225;38840;1
14;12.188215;2.095225;40449;0
15;16.667685000000002;-1.4225781000000002;39421;0
16;11.907295;2.5074356;26713;0
17;1.771308;-12.332986;21414;2
18;11.962903;2.462977;21481;0
19;11.363103;3.414925;20921;0
20;0.9818393;1.2089608;2279;0
21;13.777479000000001;-5.932441000000001;19488;2
22;-14.182051000000001;6.3757176;21907;1
23;11.450927;3.4159286;13589;0
24;10.175235;0.6405395;2566;0
25;12.05433;5.0049715;16875;0
26;-5.8322199999999995;2.0225875;15903;1
27;12.081125;-14.524107;4594;2
28;14.596627999999999;-12.663019;21111;2
29;10.997065;3.9212443999999995;8091;0
30;-20.03464;-0.7346159000000001;39292;1
31;-10.29848;5.268473999999999;38804;1
32;-7.717055;5.5484667000000005;38404;1
33;18.674377;-10.6939745;20519;2
34;-5.801429;2.053595;39172;1
35;16.066622;4.4307360000000005;20524;0
36;-19.403933;-0.66395414;38759;1
37;11.288911;0.17453381;15481;0
38;11.338189999999999;3.4129772000000003;20197;0
39;11.626408999999999;0.58907235;20568;0
40;13.402760500000001;1.8474776000000002;11078;0
41;9.4756565;1.6262438;20789;0
42;13.217667;1.8509314;16891;0
43;10.118098;1.7204061999999998;27454;0
44;12.832509;-8.276797;19504;2
45;-14.178151999999999;6.3818779999999995;38760;1
46;-19.464054;-0.6638621;39067;1
47;-3.8178115;-0.56740534;19920;1
48;-14.179425;6.36979;38764;1
49;9.44515;1.6265201999999999;4597;0
50;-9.337603;1.558311;38430;1
51;14.415377;-0.75529176;20943;0
52;10.995394000000001;3.9072876000000005;8088;0
53;11.614258999999999;0.50137323;4590;0
54;11.717532;2.9896244999999997;8073;0
55;10.986134;3.9142299;27450;0
56;2.5004475;-12.39991;11007;2
57;13.671320999999999;-9.663687;24239;2
58;16.071842;4.432588;20625;0
59;22.841920000000002;-4.801017;40783;0
60;12.663692999999999;-9.05567;41558;2
61;-19.637867;-0.67664564;33207;1
62;10.138721;0.665625;2370;0
63;10.130086;0.6639685000000001;2569;0
64;10.4774885;-0.23965748;11091;0
65;-9.20594;2.7814507;39213;1
66;11.05903;18.955382999999998;18614;0
67;12.673216;-9.059289999999999;41562;2
68;18.675278;-10.6957655;20504;2
69;-6.2762117;-0.38141757;39659;1
70;3.982217;-12.642401;20245;2
71;1.0420844999999999;1.4446362;2062;0
72;-14.670975;4.260155;39031;1
73;13.194614999999999;-4.417798;19540;0
74;10.339395;0.44322866;2570;0
75;10.647714;-0.0016837448;8253;0
76;-14.600635;4.2338285;39153;1
77;-9.30879;1.5998178;19912;1
78;-19.64534;-0.6785654000000001;33211;1
79;11.233855;3.4653312999999994;6446;0
80;-10.456862;1.8236917000000001;39689;1
81;16.425041;3.7633736000000004;20518;0
82;11.359651;4.149585;24229;0
83;13.780323999999998;-5.9323487;19489;2
84;0.9368614;1.1720358;2068;0
85;10.239268;14.439829999999999;2343;0
86;-5.7502584;8.961935;33186;1
87;3.979451;-12.650561;20246;2
88;12.039259;5.0043573;16861;0
89;13.2738695;1.2371572;3681;0
90;-19.851318;-0.6964051;39175;1
91;16.421139;3.7682693;20992;0
92;16.06519;4.4355946;20513;0
93;12.929547999999999;2.0406027;17183;0
94;11.6269;0.5714064999999999;20576;0
95;11.879539999999999;3.8912995;39790;0
96;12.144188;0.8506218000000001;37827;0
97;11.191851;1.2743526;26748;0
98;0.6595551;1.7297213;2296;0
99;12.180346499999999;2.1100051;40450;0
100;9.157404;1.569308;20769;0
101;12.990213;2.151438;14283;0
102;22.848804;-4.800986;27416;0
