;x;y;coin;label
0;-4.6444044;2.4601393;36245;1
1;-2.7319044999999997;-2.0374417;10133;1
2;1.5940244;-5.226306;4654;0
3;10.529438;2.0731628;39873;2
4;-1.8413192999999999;0.57374346;36279;1
5;2.4531262000000003;-11.375971;1806;0
6;-0.030253897999999998;-1.3177338;8653;1
7;-3.8752809;-0.38381433;14636;1
8;1.7580754;3.948267;20908;3
9;11.39241;9.392923;14920;2
10;-2.2066226;1.9986686999999999;28982;1
11;-5.3573494;-1.3892216999999998;18672;1
12;-2.562559;1.2611849;36061;1
13;0.8970851999999999;-0.6609943;27473;3
14;6.309346;2.84156;23504;3
15;1.9509859;-1.2295059;1828;3
16;-2.914567;-0.07971859;14850;1
17;1.6265346999999999;2.7269224999999997;24615;3
18;0.6347636;-3.208789;28003;0
19;1.062291;0.9813755;6238;3
20;2.4092479;4.0871606;4620;3
21;7.5924277;6.2650037;4406;2
22;-1.6504836999999999;0.56427306;18446;1
23;-3.013793;-1.0894428;20891;1
24;-2.776984;-3.0437380000000003;7640;1
25;-0.4918058;-1.7792808999999998;14310;1
26;-0.34876242;1.9328804;40474;3
27;-3.65268;-0.75393724;3166;1
28;1.8070186000000001;0.96835154;3185;3
29;5.917133;0.75913036;27239;3
30;0.7868928000000001;-0.37455314;41204;3
31;-1.3262955;0.76339924;37478;1
32;-1.4729578;0.63855886;36636;1
33;-0.028872967000000003;-1.753843;37502;1
34;-0.88520116;-3.1794849999999997;16253;0
35;-4.8446465;-5.401562;28067;0
36;-3.9701679;-0.44242853;14609;1
37;0.81648844;2.1316933999999996;10046;3
38;4.505669;1.519195;11861;3
39;0.372369;-0.9069811;1389;1
40;2.3988872000000003;2.4577606;8832;3
41;2.7456853;1.7399776000000002;17496;3
42;-1.2292506;-1.0726401;40773;1
43;12.291447999999999;10.843057;2720;2
44;-3.5787964;0.9209837;36467;1
45;1.7549531000000003;-1.9987979999999999;26156;3
46;-0.86593044;0.28852955;11743;1
47;-3.8305175000000005;0.33102143;20358;1
48;-0.5103228;-1.6941502;10101;1
49;1.7610578999999997;3.2438648;1726;3
50;0.12947698;-8.31906;14371;0
51;2.5740437999999997;0.8287988000000002;10505;3
52;1.5511983999999999;10.377642;41485;3
53;7.6136503;6.2792726;2675;2
54;-0.79522914;-0.5173918;36442;1
55;1.443561;1.9016021;41026;3
56;10.710537;2.0487218;39830;2
57;-0.72161996;-0.45840678;10142;1
58;1.577925;-0.026539255;30215;3
59;-1.3685455;2.7807777000000002;39091;1
60;-4.8192377;-5.4639235;37900;0
61;-1.2664516000000001;-5.5049660000000005;16247;0
62;2.6931052;9.276124000000001;41507;3
63;0.7143851;-4.686774;14535;0
64;-1.6617435;0.56310827;27669;1
65;2.8481512;0.88129675;21159;3
66;1.8249442999999999;0.9450405999999999;15683;3
67;-2.550561;1.2621063999999997;36033;1
68;-2.5787013;-0.49598533;1471;1
69;7.6103377000000005;6.2816057;2744;2
70;2.0312839;3.0332939999999997;3547;3
71;-0.59042567;1.3126473;36348;1
72;-0.5030527;-1.7008715;10081;1
73;-1.8507808000000001;0.57338035;36427;1
74;1.8139124;0.9590794;3187;3
75;0.091488495;1.1970158000000002;16634;3
76;0.3328169;-3.3488373999999994;6999;0
77;-0.018040702;-1.1649417;499;1
78;-2.3250243999999998;0.9046295;14852;1
79;-1.9918506;0.2513267;15189;1
80;0.11318572;1.2410825;10170;3
81;6.3091054;2.8409162;23505;3
82;-1.9989542000000002;-7.425118400000001;14361;0
83;2.8411793999999997;1.7167583999999998;10499;3
84;0.43471718;1.0898666000000001;4425;3
85;-3.8317332000000004;0.32906604;20356;1
86;5.027481;1.1645948999999998;27624;3
87;0.20623422;1.7329168000000001;37732;3
88;-1.4378659;-1.9867386000000002;28983;1
89;-2.7109735;1.9961764;24359;1
90;16.358139;4.1300354;39266;2
91;5.9165434999999995;0.7565908;27169;3
92;0.06840148;2.3037384;21186;3
93;1.1343927;3.0088298;11847;3
94;3.0951169999999997;-0.7794915;1666;3
95;-0.30099726;1.2973363000000002;17795;1
96;0.9814371999999999;1.7889998;36756;3
97;7.596196000000001;6.26917;4281;2
98;9.472629;-2.2506862;33242;3
99;-0.5922649999999999;1.3083483;36486;1
100;-2.950602;-0.6129361999999999;36417;1
101;-1.0274816999999998;-7.04893;4443;0
102;2.4465053;-11.370687;60;0
103;-3.9511409;-1.4756502;26888;1
104;-2.1010082000000003;1.4434348;35996;1
105;-1.9906061000000002;0.24858995;37360;1
106;1.8448508999999997;0.9519884;37259;3
107;2.85312;0.8533476000000001;27540;3
108;-6.4135346;-0.27009827;18583;1
109;-0.67089117;0.14348002;36712;1
110;1.8456058999999998;0.97842073;15687;3
111;-2.687924;-0.54227227;3181;1
