;x;y;coin;label
0;2.5387979;-3.9260757000000006;31084;1
1;3.3362317000000004;-0.51627505;13239;2
2;0.14096048;0.9418926;17541;0
3;2.3251824;0.8993071;33793;2
4;2.5417178;-3.9150453;30698;1
5;-0.9352277;1.9203365000000001;35405;0
6;1.0604428;-2.4065604;33804;1
7;-0.74792224;2.5346956;31475;0
8;1.1796447;-0.7992314;31208;1
9;-0.4762598;-0.7219614999999999;29759;0
10;0.10471199;-0.4641431;24352;0
11;1.0105238;0.36342448;11712;0
12;4.4232807;-1.1304530000000002;32422;2
13;2.428902;-0.043973923;31897;2
14;3.0314972;-2.3158244999999997;15501;1
15;-1.2311718;0.35769877;22439;0
16;1.3836556999999998;2.1799277999999997;41070;2
17;1.4297802;0.60436964;34976;2
18;-1.1927899;-0.8075846;18104;0
19;1.7332199000000001;1.1024058;22432;2
20;1.0592458;0.74779886;3242;0
21;1.5136325000000002;0.9042505999999999;19243;2
22;1.2219895;0.066330634;31096;2
23;2.3446846000000003;0.92227584;33784;2
24;1.1925559;-1.0981086000000002;19955;1
25;1.2740055000000001;0.52597237;30104;2
26;0.65117747;1.1973777;838;0
27;1.5618432;2.1831005;6748;2
28;0.19130886;-0.63382626;20600;1
29;0.74584717;1.2981559999999999;9319;0
30;0.9557578999999999;-0.8366243;31248;1
31;-0.54974735;2.2212062;16808;0
32;-1.1289935;-0.79976445;23180;0
33;1.606472;0.37501999999999996;31346;2
34;0.53135574;-0.79561865;19987;1
35;0.2622257;0.28141436;20797;0
36;4.299693;1.1587242;2107;2
37;0.5367757;-1.765384;33813;1
38;0.23821798;0.45811638;312;0
39;3.3428864000000003;-0.535058;31784;2
40;0.12419639;-2.5350327;10321;1
41;1.2246648;-1.0196556;31304;1
42;2.3873227000000004;-0.25941437;2482;2
43;0.60643244;-0.030054938;40216;0
44;-0.81835824;2.5274582000000003;31459;0
45;1.4571549;0.35333559999999997;30189;2
46;1.1496273000000001;-6.18401;206;1
47;1.5155121999999999;0.5190202;30097;2
48;3.9853084;2.9072772999999996;3627;2
49;-0.72224593;2.8047353999999998;32017;0
50;0.36011297;-1.0933677;12294;1
51;1.4791738;0.5897906999999999;5024;2
52;0.40717858;-2.9930369999999997;5391;1
53;0.9800253000000001;-1.1852528999999998;6084;1
54;3.7437300000000002;1.7784412;31551;2
55;0.44202027;-5.019754;28826;1
56;2.7498596;0.6932204000000001;1281;2
57;2.5486054;-2.381508;3449;1
58;2.368195;-0.4269866;32378;2
59;3.1838906000000002;1.7818931;18407;2
60;3.2646427000000005;3.0725086;32291;2
61;4.1971955;-0.48751068;31698;2
62;2.3793976000000003;0.9607323;33831;2
63;1.4577736000000001;-1.7611131999999998;12234;1
64;0.59567726;0.028662253;30689;0
65;2.7896767000000002;4.4734235;32306;2
66;0.26195273;0.30223835;6907;0
67;1.5206885;0.9171332;40420;2
68;2.7557232000000003;-0.5881054;31292;2
69;0.5764266;-1.2964182;31550;1
70;1.1684752;2.0031338;37582;2
71;1.0154759;1.8496968;241;0
72;3.315932;-0.5531312;31831;2
73;1.4392128999999998;2.2157257;38029;2
74;-1.1049874;1.1329844;2485;0
75;3.3323160000000005;1.9662857;17216;2
76;2.2150016;2.6241713;28173;2
77;2.4434142000000003;2.730896;19453;2
78;2.2319732000000005;-0.7758369;28046;1
79;-0.021159435;0.5120537000000001;14487;0
80;-0.636346;2.3365235;16776;0
81;1.4113008999999999;2.2028232000000005;34376;2
82;2.4021711;1.4636835;31619;2
83;0.8360113000000001;-1.2748424999999999;34706;1
84;-6.1268473;-4.4648414;32862;1
85;2.3726287;-0.29940128;2455;2
86;1.2413809;-1.010254;23481;1
87;2.0752625;-0.5997699000000001;16946;2
88;0.7917843000000001;1.256177;318;0
89;-0.8290062;0.08244164;23187;0
90;0.43934359999999995;-2.003158;5449;1
91;-1.1217926;-0.51445687;20956;0
92;3.1709962000000003;-0.7294933000000001;31916;2
93;0.74752134;0.8374734;302;0
94;2.2623912999999995;2.7161179;23223;2
95;3.3420568;1.9383271;17212;2
96;3.3444085;1.921943;17227;2
97;1.2937678999999997;2.0851378;36600;2
98;-0.5841055;0.6746317;20831;0
99;4.1717677;-0.4580984;31626;2
100;4.4642754;1.4736273000000002;31062;2
101;5.2090344;2.1530766;32336;2
102;0.47551602;0.10141303;3654;0
103;0.4058319;-2.9930182;4377;1
104;1.4099572;1.2378476;31242;2
105;0.28106177;-0.1863854;29949;0
106;-1.0524194;2.3252285;2544;0
107;-0.70529807;2.7855482000000005;31476;0
108;1.7967011000000002;-2.4732602000000004;14410;1
109;-0.3834442;0.88264483;16923;0
110;-0.19519491;0.23832078;30633;0
111;1.5708950000000002;0.53038526;30093;2
112;0.11608330000000001;0.36454877;294;0
113;2.5404432;-3.9224879999999995;30669;1
114;1.7321188000000003;-2.1191902000000002;30503;1
115;0.09559176;0.34178248;3474;0
116;0.16952784;0.48928195;9344;0
117;2.2910736000000003;0.6484257;37425;2
118;2.0387554;-3.4874557999999998;30486;1
119;0.29391775;2.00644;30702;0
120;-0.96058846;1.9283394;20005;0
121;0.0043548583;-6.5805182;20175;1
122;1.2217873;1.9920651999999999;6047;2
123;-1.2972853000000002;-0.9982554;18456;0
124;-0.45228547;-1.9048054;10318;1
125;2.4017212000000003;-0.23146638;30069;2
126;2.4655137000000003;2.7465568;19465;2
127;-0.4622125;-1.9018914;3649;1
128;0.9067725;0.068083145;224;0
129;-0.85491866;0.07951379;19970;0
130;0.05697763;-4.4032598;35263;1
131;0.7109886;0.14312081;30547;0
132;-2.936256;4.426596599999999;3624;0
133;2.711624;0.64361525;3451;2
134;2.4423707;1.4507796;10432;2
135;2.6918778;-1.5520436000000002;8805;1
136;-1.6831986;-1.5992676000000001;31204;1
137;1.3661454;0.49845544;30222;2
138;0.48615998;-3.2199167999999996;4341;1
139;0.72715807;-0.31287438;30637;1
140;-0.017207574;1.0852883;22416;0
141;0.7313841;-0.42491198;9795;1
142;3.198256;-0.5424701;32684;2
143;4.4115779999999996;-1.0933218;31906;2
144;1.1370399;-1.1465079;5343;1
145;2.597061;0.4228673;31807;2
146;-0.8432253000000001;2.4834737999999996;34496;0
147;2.53153;2.7629256;19456;2
148;4.5839567;0.32547697;33732;2
149;-4.443129;-3.438022;9338;1
150;-0.7006892;2.3548331;31458;0
151;0.14350262;-0.68215835;28204;1
152;-0.93834686;1.9290973999999999;17308;0
153;1.7030003;0.500834;30004;2
154;4.527458;-0.66864693;31989;2
155;1.9796789000000001;-1.0181639;35460;1
156;0.23441437;0.38310212;5014;0
157;1.7594546999999998;1.7074096;41348;2
158;-0.45254678;-1.9023339;3645;1
159;1.182228;-1.0586331;18300;1
160;5.209498;2.153421;32225;2
161;1.214713;1.9787258;7485;2
162;2.534313;-2.5184900000000003;30512;1
163;0.7717554;-1.1828359;29754;1
164;0.68622553;0.9283988000000001;349;0
165;1.5557678;2.1426487;22447;2
166;2.6187181;-4.9586973;27592;1
167;1.7343355;0.28863883;15397;2
168;2.4009902000000003;-1.4810073000000001;8998;1
169;1.6114117000000001;0.54235536;29980;2
170;1.4127489;1.2367923;10411;2
171;0.6146375;1.0981556000000001;3866;0
172;0.19077781;-1.442755;38366;1
173;1.3902707;-2.1632247000000002;30477;1
174;3.0191536;5.378653;32231;2
175;0.41685018;0.08101236;12982;0
176;5.968134;-0.29432613;27016;2
177;4.52681;0.8342991;2133;2
178;0.40058917;0.29119197;28882;0
179;2.1689794;1.6667036;13319;2
180;1.1967385;-1.0900576000000002;2037;1
181;-1.23722;1.3282204;2498;0
182;2.466704;1.4687896999999999;31582;2
183;-1.2075207000000001;-0.7997298;31637;0
184;-1.2028002;1.4899374;29749;0
185;3.2714581000000003;-0.5626366999999999;32654;2
186;0.8583206;-0.06176815;34689;0
187;0.68933666;0.9348226999999999;351;0
188;1.4648607;0.610429;35546;2
189;1.9137843999999997;-0.89767647;36603;1
190;-2.324363;0.39256412;5452;0
191;0.6938319000000001;0.00045717956;23203;0
192;2.3803077;-0.44522744;31733;2
193;1.8603337;-0.868719;10446;1
194;1.1094344999999999;-2.2708107999999996;34969;1
195;2.670153;1.7939345000000002;30210;2
196;4.7568790000000005;-0.14243813;9434;2
197;2.4390970000000003;2.7313224999999997;19461;2
198;0.018177558;-1.6173298;3659;1
199;0.75416195;1.301726;9061;0
200;1.4816318000000002;2.2395606;40650;2
201;3.0279724999999997;-2.3216472;15508;1
202;4.733325499999999;4.026021;7535;2
203;-0.7059015999999999;2.3571835;10402;0
204;-0.14273877;-0.86967885;29815;1
205;0.48283482;2.5319219;14207;0
206;-0.22970155;0.8808676;16639;0
207;3.2655826;3.066854;32216;2
208;1.1929891000000001;-0.8062011;30517;1
209;-1.4936128999999998;2.941668;18117;0
210;3.2888024;-0.55776465;31764;2
211;0.6856419;0.94160384;345;0
212;1.6550127000000001;2.3167026;37103;2
213;0.04885376599999999;-3.0296745;30310;1
214;2.3808875;-0.28241163;5464;2
215;-0.16493010000000002;0.8705219000000001;16922;0
216;1.5118797;0.9067745;40436;2
217;-1.2314456;0.35007802;33347;0
218;1.7888224999999998;-2.4643387999999997;14409;1
219;1.0577662;0.74934816;37059;0
220;0.074800014;1.3805421999999998;16671;0
221;-1.4550331;-0.1953876;562;0
222;-0.45910627;-1.9047285;3650;1
223;0.26334283;0.30138248;4996;0
224;0.39381474;0.06618832;5379;0
225;-1.2969415000000002;1.623628;34476;0
226;1.8826169999999998;-1.4848;2319;1
227;2.3387392000000005;-0.31985009999999997;32362;2
228;2.3237586;0.59820664;20034;2
229;2.6106272;1.7533525;24850;2
230;-1.6734711;-1.5592246;31011;1
231;-1.1386216;-0.51097167;21021;0
232;4.415067;-1.0972449;31868;2
233;3.0141385;5.3691473;7536;2
234;-1.4747033;2.9067242;34480;0
235;1.7634961999999998;-2.413442;2124;1
236;2.4831204;2.7429040000000002;18718;2
237;2.7658862999999996;-1.2949902;5356;1
238;0.01582532;-1.622967;2291;1
239;0.6645485999999999;-1.0389938;15471;1
240;2.7546196;-0.60923594;13013;2
241;0.89125425;-1.252146;38076;1
242;1.9224265999999999;-2.3715327;572;1
243;2.756204;-0.59472686;6891;2
244;2.3074033;0.59105337;17315;2
245;-0.39728743;0.8758529;16753;0
246;1.7252156000000003;2.270867;35397;2
247;0.09327247;-3.0484095;31949;1
248;-0.671832;2.3081727;31461;0
249;2.0973196;-2.3223894;1264;1
250;2.8750497999999998;-0.7178649;15176;2
251;3.2993977;-0.55351985;10437;2
252;0.9524134;-2.4609718;36810;1
253;2.1020562999999997;0.34874955;29891;2
254;0.16705385;0.93917924;9375;0
255;3.7457814;1.7834133;31557;2
256;-0.9023921;2.486379;16837;0
257;0.089180805;-1.4314768;31008;1
258;1.065918;-1.1811101000000002;2015;1
259;3.9697672999999996;2.925097;17480;2
260;5.2017183;2.14926;32295;2
261;0.5081402;-0.84926903;17468;1
262;2.334633;-0.177107;35810;2
263;1.1894678;-1.0753568;18320;1
264;2.6555371;1.7803313000000003;24838;2
265;1.7136066000000003;1.9892172;31558;2
266;1.5941052;0.343296;666;2
267;1.5146247;-4.6778297;7249;1
268;4.2726097;-1.27159;14418;2
269;4.598380000000001;8.236341;35260;2
270;1.7205694;2.2690778;34485;2
271;1.592847;0.32499188;662;2
272;-1.2014543;0.38753790000000005;41248;0
273;1.5876389;0.30352145;636;2
274;1.1613333000000001;5.105247;30463;2
275;3.290493;5.4088845;30681;2
276;2.3332467;-0.18002641;35418;2
277;0.77070045;1.2627766000000002;3475;0
278;0.25038204;0.46482435;286;0
279;2.3581595;-0.10108565;4857;2
280;1.2957648000000002;2.0876665;12247;2
281;0.53436214;-1.9777107;37214;1
282;2.6587473999999998;1.7829568;24841;2
283;0.7774683000000001;0.20341483;30692;0
284;-1.42919;0.45984563;279;0
285;0.7220621;-1.329702;10442;1
286;0.21501014;0.91779345;2891;0
287;2.5565162;0.4693667;31845;2
288;2.2084825;2.6463542;23240;2
289;4.4540734;1.4390553999999998;30640;2
290;1.484326;1.5373602;22411;2
291;-0.83969676;2.4813827999999996;35973;0
292;0.4407339;0.5271100000000001;315;0
293;-0.35835665;-2.6070666;20300;1
294;1.0047053;1.8229206000000002;3465;0
295;0.2608992;0.33616817;15326;0
296;2.5371919;-2.3999856;1249;1
297;0.8125308000000001;-2.3289497000000003;3127;1
298;0.7170773;-0.40996575;34749;1
299;2.375658;-1.447908;9042;1
300;-0.36451609999999995;-2.606805;19733;1
301;-0.052054323;1.6699035;29115;0
302;0.69594973;0.92223597;354;0
303;1.4816538000000001;0.5950707;14414;2
304;2.3756442000000004;0.96021765;33734;2
305;1.788389;0.835657;32337;2
306;2.3229356;0.15577339999999998;13207;2
307;0.20123494;-0.6446522;27184;1
308;0.25632277;0.31905553;32856;0
309;0.6303482;1.1386592;423;0
310;-0.14147346;-0.85092735;29814;1
311;1.5204856000000002;-4.6917973;7244;1
312;-0.0041740774;1.0781206;27610;0
313;-0.36462778;-2.6080042999999997;20108;1
314;0.46417403;0.65389764;32395;0
315;2.1683017999999996;2.4864743;23206;2
316;3.6236775000000003;-0.3181712;31196;2
317;2.9381812000000003;0.7452505;2553;2
318;-0.9077755;2.4844444;16852;0
319;-0.14061585;-0.86985874;29798;1
320;2.734425;0.6731424;1232;2
321;1.7195605999999999;2.2762794;35807;2
322;1.289208;2.0841067;3239;2
323;0.33647385;-1.6425368999999999;29856;1
324;-0.7550969;2.8861182;31940;0
325;-0.25018075;0.8828064;16613;0
326;-0.0066510797;1.0899689;27614;0
327;0.7841232;0.81096995;342;0
328;2.3043169999999997;-1.1684297;2895;1
329;0.13972521;0.39554313;11375;0
330;1.2220923000000001;1.9753971000000001;12015;2
331;-0.023703837999999998;0.52146137;15336;0
332;1.7596449;-2.4278839;37565;1
333;-4.4075239999999996;-3.3947550000000004;9329;1
334;0.59230286;-0.12152882;15843;0
335;-2.308671;0.45291692;38548;0
336;0.3731007;-3.0092529999999997;35099;1
337;2.3873458;0.9664794;33770;2
338;0.82825977;-0.08752785;35042;0
339;-0.14330013;-0.85711366;29818;1
340;1.3073622999999999;-0.78266394;37112;1
341;0.33844572;-1.6430862000000002;29853;1
342;0.51431686;0.117544964;35095;0
343;2.1161327;0.35370582;29860;2
344;2.4071447999999998;-0.45124894;31966;2
345;5.978516;-0.28644997;593;2
346;2.4015803;-0.45421934;33915;2
347;-0.85504854;-0.3603042;2161;0
348;1.0276129;-2.4263127;33822;1
349;0.5881798;-0.11948107;20684;0
350;0.5199949;0.124122426;2250;0
351;-1.2046344999999998;0.3887363;40149;0
352;2.3814213;1.0457588;2446;2
353;-0.46889275;-1.9054638;13430;1
354;-0.7125028;2.801365;31299;0
355;-0.6314221999999999;2.3316765;16824;0
356;0.25496972;0.3288459;40732;0
357;2.289301;0.6529384;10356;2
358;2.5359576;-0.28846788;22425;2
359;2.299467;-1.1394697;31020;1
360;2.3720658;-0.2919178;35125;2
361;-2.195776;1.8174397;3255;0
362;0.93278426;-0.82691306;31001;1
363;0.77419245;1.2503328000000002;299;0
364;0.02023964;-1.622607;2295;1
365;0.17855024;-0.64868087;19577;1
366;-0.14343786;-0.8134996;30607;1
367;3.257841;3.0749102;32179;2
368;1.2079011999999998;2.0077046999999997;27723;2
369;1.7569025000000003;0.46527615;13020;2
370;0.19118078;-0.6291066999999999;27163;1
371;3.1130237999999997;3.4453193999999994;7531;2
372;1.3143415;0.48204002;30070;2
373;3.0277305;5.3838563;27355;2
374;1.6223376;0.38493916;30201;2
375;1.1514223;-1.0526971;15982;1
376;2.4143673999999997;1.4730893;31579;2
377;-0.85088587;-0.35391498;2167;0
378;0.6083375;1.0644242;9432;0
379;0.5392060000000001;-1.9914491;3269;1
380;0.48091292;0.10634093;35094;0
381;0.17371105;0.8384534;34731;0
382;1.4480378999999999;-0.83672255;35447;1
383;1.4578215;0.33030182;35135;2
384;-0.91111165;2.4854527;20111;0
385;2.449927;2.7299356;19452;2
386;0.14072704;-1.8561223999999998;4527;1
387;1.427057;0.49419394;31415;2
388;-1.2172433;0.40322018;16359;0
389;-4.11227;2.0701509;31089;0
390;0.024365854;-1.6195316000000002;2287;1
391;0.08157198;1.3850996000000002;16511;0
392;0.403855;-2.9902956;4381;1
393;1.9885428;-1.0150745;23527;1
394;1.5931708999999998;2.2503154;12037;2
395;-0.301966;0.8877748;16687;0
396;3.9665324999999996;2.925135;3638;2
397;2.2743363;-0.78162205;3287;2
398;1.6717685000000002;0.41839156;30075;2
399;-1.0951476;1.1528011999999999;29968;0
400;1.9299258999999997;-2.3772352000000003;567;1
401;2.1034892000000003;-2.3276157000000004;1899;1
402;1.484775;2.2429018;11867;2
403;-1.0572879;2.3460933999999996;12231;0
404;4.306853299999999;-1.2289778999999998;5046;2
405;1.2909688999999998;2.090264;12228;2
406;1.0588554;0.7484454;3247;0
407;-2.9367976000000002;4.4255958;3621;0
408;1.7552197;0.46514750000000005;13217;2
409;1.7383218999999996;-3.7570598;2069;1
410;0.21916069999999999;-2.1576066000000003;18428;1
411;3.3293470999999997;1.9603128;17230;2
412;-0.52819693;2.6441588;19992;0
413;0.5917896;-0.12393187;15842;0
414;0.11770038;0.36971298;291;0
415;-0.94284785;1.9248539;37295;0
416;1.7347205;0.78776133;34519;2
417;-2.1483209999999997;-0.18341735;30707;0
418;-0.67116535;0.019192468;263;0
419;0.41027895;-1.0872093;36598;1
420;2.0362880000000003;-0.9774618;35753;1
421;2.9385505000000003;0.7520688;27359;2
422;0.7441816;1.299091;9316;0
423;3.7416775;1.7652805;31542;2
424;0.20960410000000002;0.92568743;34728;0
425;0.7200654000000001;-0.41905299999999995;34709;1
426;0.005806255;-6.582555;20168;1
427;1.5634273;3.3630428;32472;2
428;0.14352421;3.3230589999999998;31944;0
429;3.7189636;1.7546753000000002;10434;2
430;1.1704798;2.0531441999999998;27722;2
431;2.4779181;0.45088434;210;2
432;-1.1126316;-0.13159379999999998;30552;0
433;1.7955787;0.84925;32328;2
434;-0.36474407;-1.5948870000000002;31948;1
435;-0.36070254;-2.6106114;20104;1
436;0.7515086;-0.6922504;30362;1
437;0.98670703;3.974626;24184;0
438;-1.0357323;2.328231;2539;0
439;0.56945646;-1.3162023;32010;1
440;1.4348485;0.49476275;30013;2
441;0.38058978;-1.0897192;3233;1
442;1.3809129999999998;0.43977404;2511;2
443;1.3721113999999999;-0.16031723;237;2
444;-0.25310636;-2.7085527999999996;2149;1
445;-3.08493;-1.2453439;30568;0
446;-1.4868139;2.923028;34477;0
447;-1.0625666;2.3268343999999996;2546;0
448;1.0728447;-1.1741291;2016;1
449;1.467241;-1.7698171000000003;37967;1
450;2.0032742;0.059512712;5033;2
451;1.7485155;-0.3627178;29910;2
452;4.4239473;-1.1107004999999999;32049;2
453;0.59094477;-0.12964898;15207;0
454;1.7871851000000003;0.8372253000000001;32330;2
455;-2.195824;1.8191712;3179;0
456;1.6012859;0.53848803;30245;2
457;-1.1087198;2.3289182;4723;0
458;1.5175421999999998;2.1325464;26221;2
459;1.7410415000000001;-3.758496;2053;1
460;1.2880175;0.5371071;32080;2
461;-2.3334832000000003;-2.0628865000000003;31183;1
462;0.075808406;1.3844583000000001;16668;0
463;0.35091463;-0.9964504000000001;18648;1
464;-0.54505026;-4.1071286;29413;1
465;4.988033000000001;-0.79566956;584;2
466;1.7876915;-2.468771;14390;1
467;1.5932790000000001;0.39041603;30238;2
468;0.65844226;0.08656797599999999;31261;0
